ICacheEventId,CoreId,CoreTypeId,EventTimeTick,SourceInstrAddr,EventSize,HitStatus,ICacheEventType
2243,0,2,7771,624191671600,16,1,1
2244,0,3,7771,624191671824,16,1,1
2245,0,3,7772,624191671840,16,1,1
2246,0,3,7773,624191671856,16,1,1
2247,0,3,7774,624191671872,16,1,1
2248,0,3,7775,624191671888,16,1,1
2249,0,3,7776,624191671904,16,1,1
2250,0,3,7777,624191671920,16,1,1
2251,0,3,7778,624191671936,16,1,1
2252,0,2,7779,624191671500,4,1,1
2253,0,3,7779,624191671952,16,1,1
2254,0,2,7780,624191671504,16,1,1
2255,0,3,7780,624191671968,16,1,1
2256,0,2,7781,624191671520,16,1,1
2257,0,3,7781,624191671984,16,1,1
2258,0,2,7782,624191671536,16,1,1
2259,0,2,7783,624191671552,16,1,1
