CoreId,CoreTypeId,VfId,MetricId,MetricName,MetricDelta
0,2,3,23,c_slot_idu_not_disp.fe_bound,1009
0,2,4,23,c_slot_idu_not_disp.fe_bound,2349
0,2,5,23,c_slot_idu_not_disp.fe_bound,1009
0,2,6,23,c_slot_idu_not_disp.fe_bound,207
0,2,7,23,c_slot_idu_not_disp.fe_bound,889
0,2,8,23,c_slot_idu_not_disp.fe_bound,207
0,2,9,23,c_slot_idu_not_disp.fe_bound,1009
0,2,10,23,c_slot_idu_not_disp.fe_bound,207
0,2,11,23,c_slot_idu_not_disp.fe_bound,889
0,2,12,23,c_slot_idu_not_disp.fe_bound,207
0,2,13,23,c_slot_idu_not_disp.fe_bound,1009
0,2,14,23,c_slot_idu_not_disp.fe_bound,207
0,2,15,23,c_slot_idu_not_disp.fe_bound,889
0,2,16,23,c_slot_idu_not_disp.fe_bound,207
0,2,17,23,c_slot_idu_not_disp.fe_bound,1009
0,2,18,23,c_slot_idu_not_disp.fe_bound,207
0,2,3,24,c_cycle_idu_not_disp.asu_busy,0
0,2,4,24,c_cycle_idu_not_disp.asu_busy,0
0,2,5,24,c_cycle_idu_not_disp.asu_busy,0
0,2,6,24,c_cycle_idu_not_disp.asu_busy,0
0,2,7,24,c_cycle_idu_not_disp.asu_busy,0
0,2,8,24,c_cycle_idu_not_disp.asu_busy,0
0,2,9,24,c_cycle_idu_not_disp.asu_busy,0
0,2,10,24,c_cycle_idu_not_disp.asu_busy,0
0,2,11,24,c_cycle_idu_not_disp.asu_busy,0
0,2,12,24,c_cycle_idu_not_disp.asu_busy,0
0,2,13,24,c_cycle_idu_not_disp.asu_busy,0
0,2,14,24,c_cycle_idu_not_disp.asu_busy,0
0,2,15,24,c_cycle_idu_not_disp.asu_busy,0
0,2,16,24,c_cycle_idu_not_disp.asu_busy,0
0,2,17,24,c_cycle_idu_not_disp.asu_busy,0
0,2,18,24,c_cycle_idu_not_disp.asu_busy,0
0,2,3,25,c_cycle_idu_not_disp.vec_stall,0
0,2,4,25,c_cycle_idu_not_disp.vec_stall,0
0,2,5,25,c_cycle_idu_not_disp.vec_stall,0
0,2,6,25,c_cycle_idu_not_disp.vec_stall,0
0,2,7,25,c_cycle_idu_not_disp.vec_stall,0
0,2,8,25,c_cycle_idu_not_disp.vec_stall,0
0,2,9,25,c_cycle_idu_not_disp.vec_stall,0
0,2,10,25,c_cycle_idu_not_disp.vec_stall,0
0,2,11,25,c_cycle_idu_not_disp.vec_stall,0
0,2,12,25,c_cycle_idu_not_disp.vec_stall,0
0,2,13,25,c_cycle_idu_not_disp.vec_stall,0
0,2,14,25,c_cycle_idu_not_disp.vec_stall,0
0,2,15,25,c_cycle_idu_not_disp.vec_stall,0
0,2,16,25,c_cycle_idu_not_disp.vec_stall,0
0,2,17,25,c_cycle_idu_not_disp.vec_stall,0
0,2,18,25,c_cycle_idu_not_disp.vec_stall,0
0,2,3,26,c_cycle_idu_not_disp.fe_bound,179
0,2,4,26,c_cycle_idu_not_disp.fe_bound,394
0,2,5,26,c_cycle_idu_not_disp.fe_bound,179
0,2,6,26,c_cycle_idu_not_disp.fe_bound,37
0,2,7,26,c_cycle_idu_not_disp.fe_bound,159
0,2,8,26,c_cycle_idu_not_disp.fe_bound,37
0,2,9,26,c_cycle_idu_not_disp.fe_bound,179
0,2,10,26,c_cycle_idu_not_disp.fe_bound,37
0,2,11,26,c_cycle_idu_not_disp.fe_bound,159
0,2,12,26,c_cycle_idu_not_disp.fe_bound,37
0,2,13,26,c_cycle_idu_not_disp.fe_bound,179
0,2,14,26,c_cycle_idu_not_disp.fe_bound,37
0,2,15,26,c_cycle_idu_not_disp.fe_bound,159
0,2,16,26,c_cycle_idu_not_disp.fe_bound,37
0,2,17,26,c_cycle_idu_not_disp.fe_bound,179
0,2,18,26,c_cycle_idu_not_disp.fe_bound,37
0,2,3,27,c_cycle_idu_fifo_empty,158
0,2,4,27,c_cycle_idu_fifo_empty,389
0,2,5,27,c_cycle_idu_fifo_empty,54
0,2,6,27,c_cycle_idu_fifo_empty,19
0,2,7,27,c_cycle_idu_fifo_empty,30
0,2,8,27,c_cycle_idu_fifo_empty,33
0,2,9,27,c_cycle_idu_fifo_empty,54
0,2,10,27,c_cycle_idu_fifo_empty,19
0,2,11,27,c_cycle_idu_fifo_empty,30
0,2,12,27,c_cycle_idu_fifo_empty,33
0,2,13,27,c_cycle_idu_fifo_empty,54
0,2,14,27,c_cycle_idu_fifo_empty,19
