ExecInstrId,DispatchTimeTick
2473901164180,5648
2473901164181,5648
2473901164182,5651
2473901164183,5651
2473901164184,5652
2473901164185,5656
2473901164186,5656
2473901164187,5660
2473901164188,5664
2473901164189,5665
2473901164190,5666
2473901164191,5667
2473901164192,5668
2473901164193,5668
2473901164194,5671
2473901164195,5672
2473901164196,5673
2473901164197,5673
2473901164198,5674
2473901164199,5674
2473901164200,5675
2473901164201,5675
2473901164202,5678
2473901164203,5678
2473901164204,5679
2473901164205,5683
2473901164206,5683
2473901164207,5684
2473901164208,5687
2473901164209,5690
2473901164210,5691
2473901164211,5692
2473901164212,5693
2473901164213,5694
2473901164214,5695
2473901164215,5698
2473901164216,5698
2473901164217,5699
2473901164218,5699
2473901164219,5700
2473901164220,5701
2473901164221,5704
2473901164222,5706
2473901164223,5707
2473901164224,5708
2473901164225,5709
2473901164226,5710
2473901164227,5711
2473901164228,5712
2473901164229,5714
2473901164230,5715
2473901164231,5716
2473901164232,5716
2473901164233,5717
2473901164234,5720
2473901164235,5723
2473901164280,5729
2473901164281,5729
2473901164282,5733
2473901164283,5737
2473901164284,5738
2473901164285,5739
2473901164287,5740
2473901164288,5741
2473901164289,5741
2473901164290,5745
2473901164291,5745
2473901164292,5746
2473901164293,5746
2473901164294,5747
2473901164295,5748
2473901164296,5748
2473901164297,5751
2473901164298,5753
2473901164299,5754
2473901164300,5755
2473901164301,5756
2473901164302,5757
2473901164303,5761
2473901164304,5762
2473901164306,5763
2473901164307,5764
2473901164308,5765
2473901164309,5767
2473901164310,5768
2473901164311,5768
2473901164312,5769
2473901164313,5769
2473901164314,5770
2473901164315,5770
2473901164316,5774
2473901164317,5777
2473901164363,5783
2473901164364,5783
2473901164365,5787
2473901164366,5790
2473901164394,5796
2473901164395,5796
2473901164396,5797
2473901164397,5797
2473901164398,5798
2473901164399,5798
2473901164400,5801
2473901164401,5801
2473901164402,5802
2473901164403,5806
2473901164404,5806
2473901164405,5810
2473901164406,5814
2473901164407,5815
2473901164408,5816
2473901164409,5817
2473901164410,5818
2473901164411,5818
2473901164412,5821
2473901164413,5822
2473901164414,5823
2473901164415,5823
2473901164416,5824
2473901164417,5824
2473901164418,5825
2473901164419,5825
2473901164420,5828
2473901164421,5828
2473901164422,5829
2473901164423,5833
2473901164424,5833
2473901164425,5834
2473901164426,5837
2473901164427,5840
2473901164428,5841
2473901164429,5842
2473901164430,5843
2473901164431,5843
2473901164432,5847
2473901164433,5851
2473901164434,5851
2473901164435,5852
2473901164436,5852
2473901164437,5853
2473901164438,5854
2473901164439,5855
2473901164440,5856
2473901164441,5857
2473901164442,5860
2473901164443,5863
2473901164490,5869
2473901164491,5869
2473901164492,5873
2473901164493,5877
2473901164494,5878
2473901164495,5879
2473901164496,5880
2473901164497,5881
2473901164498,5882
2473901164499,5884
2473901164500,5884
2473901164501,5885
2473901164502,5885
2473901164503,5886
2473901164504,5886
2473901164505,5887
2473901164506,5888
2473901164507,5889
2473901164508,5890
2473901164509,5892
2473901164510,5893
2473901164511,5893
2473901164512,5894
2473901164513,5894
